,mjd,mjd_n,m j d,m,j,d
24,88.42394181126794,87.87820259473216,81.86959966610598,52.5063434851345,85.11354028419242,92.87877169337906
25,82.24418424474594,54.143881351396274,87.22354327537303,77.36072199902056,89.52941857042617,50.92335223892566
26,70.32272084712557,72.83946946821335,54.007877101813065,76.13001469387466,67.95477676066437,59.95011209693718
27,91.22519586190504,91.17733712003384,68.90946989141223,90.08738839536493,78.53591731825192,51.4588967773205
28,86.03065382255168,82.35487225322915,84.26296162903051,54.20472748560834,84.1142652742678,67.72725573311469
29,80.76128597930392,54.93624514911297,96.77667321819116,51.503523136036996,82.9566642959959,77.08094674640724
30,95.84818625015818,80.73019696942563,55.78679653322516,83.309066064246,91.55451546981898,89.9438394361006
31,72.33631466770557,70.66827273743147,82.03141361733044,77.32715202113411,53.04329516644059,94.92155485432727
32,65.3315832235665,94.91900661067999,71.77265560700596,90.51686602847266,65.22223437110928,83.49758849405904
33,57.33980838734472,59.15355073239189,54.80139430896236,91.09776329743467,77.2444108274259,55.76757537732673
34,94.38070633403338,78.266160897882,94.83264796541793,56.20671856824673,67.95128443092354,93.54185212300231
35,72.44743646018136,91.02588779127055,50.51055602387311,57.925664080648275,65.89272197315552,75.3662981965747
36,63.69959088739468,61.76654891279595,96.94775621180554,53.33955669319259,60.289824619098084,58.61079943286847
37,68.64919714924781,90.12531156620162,57.30348382038344,71.80587896495356,97.47513421155489,90.35435739940945
38,92.88488012404589,57.133098376469384,62.39312064838734,76.26174960243237,90.77226235431016,56.092756352443615
39,77.75834041865153,86.62715825558531,79.75456179962326,77.22512130679907,56.24059107780565,98.44942005897468
40,67.785198311511,75.67216049493639,80.42474658183131,83.86750315660353,85.12326543610982,78.35176218421131
41,58.78150019370477,96.47957717063962,60.69332452351441,88.37542463727561,80.44634196365101,56.84660225137743
42,64.19422059612816,81.32888929955422,86.87202555398727,69.19900146393616,88.52689484046228,98.61230993634413
43,98.75797849411245,87.5813559718966,90.70251411583796,57.895472759927735,77.04420850175642,85.36240806780646
44,91.3638017546453,86.49276850648775,81.52864650340071,97.32003833935485,65.27114666434016,73.16479745042028
45,73.39002084444652,63.471451464062866,69.23125174247399,71.47456267987435,92.22096111368508,68.98854786577387
46,90.27841710348869,90.62262113258018,77.17342837398743,51.07381066357344,63.73240216230478,95.06715271575331
47,99.5311173732055,65.28461250293068,70.7232295514363,92.4058304354141,57.32459933508915,60.96742394074801
48,66.56755320116223,88.94236490016445,56.0300289430991,91.63565761507473,80.96068509758742,72.7753078314374
49,58.051735087241255,63.90093995981934,75.97717148134494,97.39955416753006,56.47497468480349,52.98239673784114
50,80.10650438663912,98.87452216254133,98.80978224634751,79.73138845451406,94.3070847348802,71.35545814539728
51,68.53132198926758,76.02977202618253,96.75765748895213,59.598985264785554,66.92862438142512,80.67860378664953
52,66.09241261618422,85.50985661185882,67.74252555875088,67.94338251402796,83.65851559293975,60.71722775091373
53,62.53965014393752,90.90603792285022,89.73306875586313,79.99212915902302,91.76611133852947,57.633057281866584
54,87.51433042013997,86.58201178569391,64.73936277712107,78.98537041831274,95.90540531482455,90.50117551932712
55,92.70054492062816,60.44375828406856,59.11413813757833,96.96246564379729,93.30214628465345,87.016269774553
56,87.19062428026132,96.54434446526122,57.85901608738442,91.6164527896136,64.0561613728894,62.40197325256223
57,59.0018433587985,65.83518345681398,50.48773351614268,61.545742245396106,76.57694258320696,88.80002061808186
58,61.52114634947261,88.65711843081439,56.94727687441312,63.39051955585372,75.9993270107594,90.68510799923826
59,82.87766176910924,70.87529686806182,55.35791437144827,74.86963762352377,61.55356216207743,85.72961300764847
60,59.682769574075756,92.6300456192664,55.667843329818155,57.23884363831577,79.15752723361159,91.19347108139851
61,79.69138330296293,61.38246078022591,97.10480126257062,73.28559212946206,80.94793164400689,53.65346456949762
62,66.99632022653924,54.97050386508132,68.21522026962525,74.13991061782953,53.15915218765292,73.14064290076016
63,59.43861618907466,65.7840957924105,68.54141591203357,97.16699967679581,99.37137523551715,63.13325165838679
64,92.09625157076853,90.9775838057925,84.91129747713164,64.61652738982603,69.49273544676868,85.03832365658857
65,76.85071200283349,84.4439103685777,90.56988589590867,83.406591733948,59.46886658938981,82.0897211349359
66,63.44171796198943,81.50575271298995,90.44800700118599,69.03505901997228,98.97437494648955,52.576137256838365
67,50.6789237212274,80.84115652386235,80.92094210549338,72.12936723366288,69.32405598792502,97.43191130378992
68,68.81533724607617,51.77015361639526,66.72743274699889,96.6196673962988,97.00125265889005,97.7444936150585
69,59.13797127689373,62.4929149930435,91.99592001679984,86.26945270744326,55.24334698697982,64.68297726252933
70,77.10036879770709,84.15279526967869,96.2157443429389,62.85364392325443,53.5807437202091,61.55197778126762
71,96.88099495507765,83.31324651865705,64.18728078787876,96.28296562753512,95.38426450180218,87.2677953706559
72,55.70331420900898,62.147167178156515,93.02931527447349,60.80356874875673,53.32697505702511,86.11787785406617
73,83.74696383015716,74.07996779597723,59.85286474579026,68.98994490784493,77.35196072250018,69.41130071582012
74,56.50699279854098,93.31966914736016,81.72813562441095,96.70797907212526,87.88037220997309,95.58053887407405
75,89.59814470033282,87.05209887966319,92.2060770068902,53.02047325532164,70.20491398613981,95.70332218249544
76,69.10303826879884,51.6085680080254,70.17720970537547,87.24698267759506,58.46159711403005,76.53280614375065
77,52.35485444247389,77.88470326145422,85.05455814843481,87.45302094550541,94.3331159347515,60.77826002907331
78,84.33022634653099,89.25384442945064,63.397713948034415,59.47686582021481,60.775878825289674,84.61837729751606
79,54.66350999704805,74.74961090757084,90.85093824735236,97.76049699354323,77.56685581083897,59.759895124992035
80,55.194993245083424,70.16127419001788,96.20378495042243,56.63260239407335,66.49699559944501,63.60090526399866
81,74.30550779403438,65.17199541528547,83.9101408039695,70.22579904765378,98.08192172323736,79.59349952607653
82,62.5419134177615,74.59319493533295,58.79770878135242,91.5286175135865,59.10908581528687,79.06403417766549
83,82.9076913700164,86.57541997385106,77.54909622585811,68.01778738083222,52.99782347078262,61.98678673659099
84,52.70876737422589,52.374031445546755,57.06582918624012,73.80884294811032,92.95317677522699,75.75761425110552
85,65.51294181389287,84.14573447001162,56.887864727865356,77.24518039877789,85.23824195403098,92.99984763496182
86,54.26965274726954,97.52825218687707,74.80752471824471,68.55764005749467,69.23230053440987,53.11370145200136
87,68.57564456224858,63.51649669924386,70.59999634452753,64.67231454353026,65.68720851654521,77.72095635084084
88,99.37427970863442,53.606758460617534,50.878042208756355,93.11697179927953,74.93753049290049,72.35276947971283
89,92.41469634133598,52.79959635040602,70.57947760676136,67.82725750050878,69.36086933210974,50.098364227248325
90,74.15013130070363,51.49783930661669,94.32000375993206,64.24344555369524,77.39668131748304,97.99159740302329
91,68.48438017053269,65.57920962842701,62.21137916305639,64.17397024249,99.65381901843126,75.16301760316185
92,92.12756531182951,63.4615912860309,58.37286027234241,96.72929561454399,96.82694709993204,51.764615594597466
93,91.00693648196392,62.21630345117903,70.69416766562145,69.66425512015768,76.2357930842789,78.3929233087092
94,87.62783471534796,62.78151946265622,66.95820662207544,76.48180620676803,86.6858261771644,69.07510582414453
95,73.5932730776541,97.84841025118108,98.19043882336966,71.51651593722143,59.804490925010946,96.4349618552119
96,90.81089922317258,93.62716617443513,73.47996752480537,86.45713409771464,97.90118132874987,83.40533702701138
97,67.71186409876191,63.23548603277074,84.46372970118297,95.68755665596477,89.2950229670601,73.04583516834646
98,77.83189755155371,50.372319806858854,98.65783740387553,90.40290390115145,67.06535565619602,61.45706987123483
99,68.58644715304307,56.52060214748946,50.70767757904293,54.24461969237885,85.86042866020085,93.28277491267309
