,Alpha,Beta,Delta,Epsilon,Text,Gamma
93,76.99434563310554,57.4094108117547,1,,,
94,30.808175787829335,59.360014427148,1,,,
95,49.11511263179621,51.7706487933911,1,,,
96,71.12410736936337,45.87211750896802,1,,,
97,40.10130347377935,44.42022567475727,1,,,
98,3.64757411855949,53.1260652952375,1,,,
99,38.15613983718203,42.97973110465092,1,,,
100,57.98647156325866,,1,,,45.59374384314916
101,61.73600682418683,,1,,,44.772396223654866
102,71.8431518321443,,1,,,44.63221480407005
103,80.85356266917847,,1,,,56.707309984721704
104,26.297267913692643,,1,,,51.841874893361094
105,49.04517073225148,,1,,,44.674539897127346
106,31.894908748744495,,1,,,55.918179651158916
107,73.57203934555216,,1,,,55.825199697394766
108,23.936251012576975,,1,,,51.461308537787694
109,48.45083182505019,,1,,,50.572800920387714
110,89.69338611127394,,1,,,44.79031072929533
111,60.71992590675167,,1,,,40.41572678044192
112,74.56104206563867,,1,,,54.961396765704265
113,56.06443465899558,,1,,,48.4463790834743
114,33.22608787777007,,1,,,48.57609983497738
115,72.40736661802535,,1,,,49.50286577847466
116,67.35421481575628,,1,,,47.82952902610117
117,6.792635817594352,,1,,,51.11491412556172
118,54.98041882173928,,1,,,51.25859912002589
119,70.21182546353359,,1,,,45.14463700785886
120,66.21980611653015,,1,,,47.049284864638956
121,64.94855088145886,,1,,,55.884230049359644
122,20.353730184305853,,1,,,55.37731603771112
123,57.74868725925377,,1,,,48.24019933551716
124,59.5758120891745,,1,,,60.92255652011617
125,54.295398930731224,,1,,,51.21479678239625
126,76.40180982996156,,1,,,53.26262958112836
127,61.37548722165831,,1,,,47.990925264776024
128,22.405876026989166,,1,,,57.3108755207116
129,44.16076784346212,,1,,,44.9413549955953
130,51.39283475803217,,1,,,59.694509321236566
131,101.71000474412591,,1,,,44.37531544465392
132,46.238341334552175,,1,,,49.97805215519459
133,61.11763947320046,,1,,,44.02727576584695
134,55.944207812281775,,1,,,54.77598914630027
135,68.83129266295609,,1,,,43.517536811702485
136,34.219327936296246,,1,,,48.86557593535251
137,68.04905215855567,,1,,,52.58427099240942
138,38.0878687346054,,1,,,45.94516377179014
139,64.67537573938132,,1,,,48.467929899391
140,76.02541146731261,,1,,,52.72995638189657
141,35.70668206280699,,1,,,38.811166889777546
142,45.448497621202804,,1,,,43.87442833176709
143,45.398478422215994,,1,,,46.87497799473424
144,47.86423625509002,,1,,,50.31598838653035
145,71.4652162539951,,1,,,53.12313016677431
146,55.08197597026153,,1,,,49.660873451218656
147,36.0651083803796,,1,,,48.75602459422274
148,83.57781201213749,,1,,,51.85554909163882
149,49.541884122259525,,1,,,47.491997142050465
150,50.50996453064741,,1,,,52.13336152829917
151,39.57786551162761,,1,,,48.24667850381383
152,59.53166822042377,,1,,,55.3395224193923
153,45.07561404527676,,1,,,50.45142466969613
154,52.027789783601534,,1,,,52.27175458734684
155,46.06525107654853,,1,,,45.64816665112464
156,51.33917515722599,,1,,,48.702547023437006
157,91.25754320352499,,1,,,49.8794144007141
158,7.426126437175206,,1,,,53.730424250772174
159,48.78907498039821,,1,,,41.873451363960406
160,84.10441155728857,,1,,,47.91002219748124
161,38.00095003638468,,1,,,47.15039043901534
162,73.88693609203679,,1,,,49.187029606419976
163,43.733789771173214,,1,,,40.080504808348465
164,44.47630115413085,,1,,,45.55750981597535
165,85.81037606914256,,1,,,49.61211473245462
166,39.829256758626705,,1,,,61.171495138720644
167,32.8145808248443,,1,,,50.95068848597654
168,31.052787061160082,,1,,,58.48609811590724
169,75.4897558146906,,1,,,46.199209695603
170,47.999509187122065,,1,,,42.74109670853238
171,52.52721947173983,,1,,,43.50310378165555
172,46.20546210538498,,1,,,48.611454874085254
173,44.893279242708445,,1,,,55.40801161220223
174,60.61505878249924,,1,,,47.397219502495446
175,43.69548792355224,,1,,,47.60872324879445
176,65.22077033702581,,1,,,43.852316645810056
177,47.44286819424825,,1,,,42.82220409593101
178,50.829443004624906,,1,,,53.655341135154075
179,60.93555684733788,,1,,,49.55374768674962
180,44.13947945795631,,1,,,52.12895049158349
181,48.791978515531845,,1,,,52.38892439113854
182,61.83945470767569,,1,,,45.34683095757528
183,32.395955399781776,,1,,,57.20630386569876
184,11.315750905818973,,1,,,50.24965863932379
185,65.87152938335527,,1,,,60.332174541332805
186,36.400802724240364,,1,,,40.08581923037816
187,26.450560603148165,,1,,,48.84560375489372
188,85.1534398337853,,1,,,53.230674673830734
189,49.151029048907944,,1,,,61.949261106513056
190,51.08972106643957,,1,,,51.77063504655944
191,61.29541468053823,,1,,,52.985116101774835
192,66.52316705398565,,1,,,50.71133018563234
193,37.08431138361298,,1,,,48.90769048032833
194,29.08791910029005,,1,,,47.39697964709323
195,62.260072021685076,,1,,,40.73803866049192
196,29.544849396993232,,1,,,55.60805895007583
197,69.19781807556478,,1,,,51.26416630691863
198,37.86792540729006,,1,,,55.94774936956205
199,60.99988892427537,,1,,,49.982403913196315
